pair_id,site_id,state,state_code,shrp_id,construction_no,current_date,future_date,observed_days_ahead,days_ahead,current_iri_m_per_km,future_iri_m_per_km,delta_iri_m_per_km,rainfall_level,traffic_level,temperature,water_exposure,traffic_source,num_prior_inspections,num_available_inspections,time_since_first_observation_days,time_since_prev_inspection_days,prev_iri_m_per_km,second_prev_iri_m_per_km,most_recent_iri_change,annualized_iri_slope,rolling_iri_mean,rolling_iri_std,same_construction_no,has_at_least_1_prior,has_at_least_2_prior,future_leakage_detected
36-1008_1993-07-29_1994-09-07,36-1008,NY,36,1008,2,1993-07-29,1994-09-07,405,420,1.164000034,1.036999941,-0.12700009300000015,3.550864181,375.0,8.296790127,0.637037037,TRF_REP,3,4,1150,279.0,0.989000022,1.164000034,0.17500001200000004,0.22909947807526887,1.135000035,0.10122912347738733,1.0,True,True,False
36-1008_1994-09-07_1995-06-13,36-1008,NY,36,1008,2,1994-09-07,1995-06-13,279,270,1.036999941,1.016000032,-0.020999908999999928,2.338709665,375.0,5.515770614,0.537634409,TRF_REP,4,5,1555,405.0,1.164000034,0.989000022,-0.12700009300000015,-0.11453526905740755,1.1154000162,0.09801176084940966,1.0,True,True,False
36-1008_1999-08-26_2000-04-20,36-1008,NY,36,1008,2,1999-08-26,2000-04-20,238,240,1.24000001,1.360999942,0.12099993200000014,2.539075618,375.0,5.010504198,0.5,TRF_REP,6,7,3369,1535.0,1.016000032,1.036999941,0.22399997799999993,0.05330032049804558,1.1190000175714285,0.10306956898458419,1.0,True,True,False
36-1011_1990-06-05_1991-07-30,36-1011,NY,36,1011,1,1990-06-05,1991-07-30,420,420,1.082999945,1.162999988,0.08000004299999985,3.028809533,425.0,11.725476193,0.619047619,TRF_REP,0,1,0,,,,,,1.082999945,0.0,,False,False,False
36-1011_1991-07-30_1992-01-27,36-1011,NY,36,1011,1,1991-07-30,1992-01-27,181,180,1.162999988,1.151000023,-0.011999965000000001,2.737569049,425.0,8.454143624,0.674033149,TRF_REP,1,2,420,420.0,1.082999945,,0.08000004299999985,0.0695714659660713,1.1229999665000001,0.05656857290051529,1.0,True,False,False
36-1011_1992-01-27_1992-06-16,36-1011,NY,36,1011,1,1992-01-27,1992-06-16,141,150,1.151000023,1.088999987,-0.062000035999999925,2.851063869,425.0,5.592198602,0.687943262,TRF_REP,2,3,601,181.0,1.162999988,1.082999945,-0.011999965000000001,-0.02421539898480663,1.1323333186666666,0.043143204656139286,1.0,True,True,False
36-1011_1992-06-16_1992-10-23,36-1011,NY,36,1011,1,1992-06-16,1992-10-23,129,120,1.088999987,1.187000036,0.09800004899999992,3.594573626,425.0,16.65116283,0.651162791,TRF_REP,3,4,742,141.0,1.151000023,1.162999988,-0.062000035999999925,-0.16060647623404237,1.12149998575,0.04135619841089136,1.0,True,True,False
36-1011_1992-10-23_1993-07-30,36-1011,NY,36,1011,1,1992-10-23,1993-07-30,280,270,1.187000036,1.208999991,0.02199995500000007,3.010714298,425.0,6.177500036,0.642857143,TRF_REP,4,5,871,129.0,1.088999987,1.151000023,0.09800004899999992,0.27747688292441836,1.1345999958,0.046268808897585244,1.0,True,True,False
36-1011_1994-09-07_1995-06-13,36-1011,NY,36,1011,2,1994-09-07,1995-06-13,279,270,0.888999999,0.83099997,-0.05800002900000001,1.753046602,706.0,5.938351275,0.501792115,TRF_REP,6,7,1555,404.0,1.208999991,1.187000036,-0.31999999199999996,-0.289306923460396,1.1101428527142858,0.10819031494371338,0.0,True,True,False
36-1011_2002-02-08_2002-07-24,36-1011,NY,36,1011,2,2002-02-08,2002-07-24,166,180,0.848999977,0.882000029,0.033000052,3.116867479,706.0,11.371686796,0.63253012,TRF_REP,8,9,4266,2432.0,0.83099997,0.888999999,0.01800000699999993,0.0027033316434004824,1.0501111017777778,0.15162161616486342,1.0,True,True,False
36-1011_2002-07-24_2004-04-12,36-1011,NY,36,1011,2,2002-07-24,2004-04-12,628,630,0.882000029,0.902999997,0.020999968000000035,2.536464977,706.0,7.419904439,0.668789809,TRF_REP,9,10,4432,166.0,0.848999977,0.83099997,0.033000052,0.0726100541746988,1.0332999945,0.15251525075618838,1.0,True,True,False
36-1643_1990-06-08_1990-11-21,36-1643,NY,36,1643,2,1990-06-08,1990-11-21,166,180,1.378000021,1.291000009,-0.08700001200000007,3.806626493,623.0,16.221084272,0.56626506,TRF_REP,0,1,0,,,,,,1.378000021,0.0,,False,False,False
36-1643_1990-11-21_1991-04-19,36-1643,NY,36,1643,2,1990-11-21,1991-04-19,149,150,1.291000009,1.465999961,0.17499995200000007,2.509395977,623.0,0.222818772,0.590604027,TRF_REP,1,2,166,166.0,1.378000021,,-0.08700001200000007,-0.19142623122289174,1.3345000150000002,0.061518298448511054,1.0,True,False,False
36-1643_1992-07-09_1993-09-14,36-1643,NY,36,1643,3,1992-07-09,1993-09-14,432,420,1.797999978,2.138999939,0.3409999610000001,2.768518512,623.0,9.665277789,0.618055556,TRF_REP,3,4,762,447.0,1.465999961,1.291000009,0.3320000169999999,0.27128189308557044,1.4832499922500002,0.22166245330494613,0.0,True,True,False
36-1643_1993-09-14_1994-06-28,36-1643,NY,36,1643,3,1993-09-14,1994-06-28,287,300,2.138999939,2.61500001,0.4760000710000001,2.973170732,623.0,3.55783972,0.613240418,TRF_REP,4,5,1194,432.0,1.797999978,1.465999961,0.3409999610000001,0.28831073091493065,1.6143999816,0.35050289718688654,1.0,True,True,False
36-1643_1994-06-28_1995-07-05,36-1643,NY,36,1643,3,1994-06-28,1995-07-05,372,360,2.61500001,2.79399991,0.1789999,2.356451604,770.0,9.111021527,0.505376344,TRF_MEPDG_AADTT_LTPP_LN,5,6,1481,287.0,2.138999939,1.797999978,0.4760000710000001,0.6057805781628921,1.7811666530000003,0.514925781922147,1.0,True,True,False
36-1643_1996-11-07_1997-10-16,36-1643,NY,36,1643,6,1996-11-07,1997-10-16,343,330,0.837000012,1.014000058,0.17700004599999997,2.94606415,784.0,8.157725921,0.60058309,TRF_REP,7,8,2344,491.0,2.79399991,2.61500001,-1.9569998980000003,-1.455792693980652,1.7897499800000003,0.6805916825909657,0.0,True,True,False
36-1643_1997-10-16_1999-08-24,36-1643,NY,36,1643,6,1997-10-16,1999-08-24,677,690,1.014000058,1.057999969,0.043999911,2.74741508,784.0,8.77710486,0.559822747,TRF_REP,8,9,2687,343.0,0.837000012,2.79399991,0.17700004599999997,0.18848182740962097,1.7035555442222226,0.687146080132854,1.0,True,True,False
36-1643_2002-11-08_2004-04-22,36-1643,NY,36,1643,6,2002-11-08,2004-04-22,531,540,1.057000041,1.077999949,0.020999908000000067,2.879472711,784.0,4.826741985,0.555555556,TRF_REP,10,11,4536,1172.0,1.057999969,1.014000058,-0.0009999279999999278,-0.00031162431911260546,1.586090900727273,0.6678590072610878,1.0,True,True,False
36-1644_1990-06-06_1990-11-21,36-1644,NY,36,1644,1,1990-06-06,1990-11-21,168,180,0.964999974,0.948000014,-0.016999960000000036,3.348809531,58.0,13.020833347,0.714285714,TRF_REP,0,1,0,,,,,,0.964999974,0.0,,False,False,False
36-1644_1990-11-21_1992-07-07,36-1644,NY,36,1644,1,1990-11-21,1992-07-07,594,600,0.948000014,0.99000001,0.04199999600000004,2.815656567,58.0,4.010774403,0.664983165,TRF_REP,1,2,168,168.0,0.964999974,,-0.016999960000000036,-0.03695973446428579,0.9564999940000001,0.012020786995900087,1.0,True,False,False
36-1644_1992-07-07_1993-09-13,36-1644,NY,36,1644,1,1992-07-07,1993-09-13,433,420,0.99000001,1.059999943,0.06999993299999996,3.502771365,58.0,6.396535814,0.704387991,TRF_REP,2,3,762,594.0,0.948000014,0.964999974,0.04199999600000004,0.02582575511616164,0.9676666660000001,0.02112660291355789,1.0,True,True,False
36-1644_1993-09-13_1994-06-29,36-1644,NY,36,1644,1,1993-09-13,1994-06-29,289,300,1.059999943,1.077999949,0.01800000600000007,2.894463671,58.0,0.386851223,0.660899654,TRF_REP,3,4,1195,433.0,0.99000001,0.948000014,0.06999993299999996,0.05904728759411082,0.9907499852500001,0.04928401442152532,1.0,True,True,False
36-1644_1994-06-29_1995-07-06,36-1644,NY,36,1644,1,1994-06-29,1995-07-06,372,360,1.077999949,1.093999982,0.016000032999999858,2.431989243,58.0,6.137634433,0.615591398,TRF_REP,4,5,1484,289.0,1.059999943,0.99000001,0.01800000600000007,0.022749142531141953,1.008199978,0.05782903071123622,1.0,True,True,False
36-1644_1995-07-06_1996-05-09,36-1644,NY,36,1644,1,1995-07-06,1996-05-09,308,300,1.093999982,1.192000031,0.09800004900000014,3.402272706,58.0,2.590909092,0.681818182,TRF_REP,5,6,1856,372.0,1.077999949,1.059999943,0.016000032999999858,0.015709709820564376,1.0224999786666666,0.062468372387960304,1.0,True,True,False
36-1644_1996-11-06_1997-10-16,36-1644,NY,36,1644,2,1996-11-06,1997-10-16,344,330,0.801999986,0.773999989,-0.027999997,3.304360465,87.0,4.983430268,0.703488372,TRF_REP,7,8,2345,181.0,1.192000031,1.093999982,-0.3900000450000001,-0.7870028532389505,1.0161249861250001,0.11743501425515353,0.0,True,True,False
36-1644_1999-08-24_2001-08-21,36-1644,NY,36,1644,3,1999-08-24,2001-08-21,728,720,0.816999972,0.899999976,0.08300000400000007,2.998901095,87.0,5.442994497,0.682692308,TRF_REP,9,10,3366,677.0,0.773999989,0.801999986,0.042999982999999964,0.023199030710118147,0.9719999850000001,0.13957952979972346,0.0,True,True,False
36-1644_2001-08-21_2002-11-07,36-1644,NY,36,1644,3,2001-08-21,2002-11-07,443,450,0.899999976,0.893000007,-0.006999968999999995,2.941309254,87.0,7.756884878,0.659142212,TRF_REP,10,11,4094,728.0,0.816999972,0.773999989,0.08300000400000007,0.0416425157431319,0.9654545296363637,0.1341844755189348,1.0,True,True,False
36-1644_2002-11-07_2004-04-13,36-1644,NY,36,1644,3,2002-11-07,2004-04-13,523,510,0.893000007,1.126999974,0.23399996700000003,2.933652015,87.0,1.898087976,0.715105163,TRF_REP,11,12,4537,443.0,0.899999976,0.816999972,-0.006999968999999995,-0.0057714191360045105,0.95941665275,0.12963828035444724,1.0,True,True,False
36-4017_1990-06-09_1991-07-31,36-4017,NY,36,4017,1,1990-06-09,1991-07-31,417,420,1.937999964,2.151000023,0.21300005899999985,2.435011995,712.0,10.372661852,0.565947242,TRF_REP,0,1,0,,,,,,1.937999964,0.0,,False,False,False
36-4017_1991-07-31_1992-11-03,36-4017,NY,36,4017,1,1991-07-31,1992-11-03,461,450,2.151000023,1.901000023,-0.25,2.700867687,712.0,8.426247275,0.585683297,TRF_REP,1,2,417,417.0,1.937999964,,0.21300005899999985,0.18656659844064735,2.0444999935,0.1506137861120346,1.0,True,False,False
36-4017_1992-11-03_1993-08-03,36-4017,NY,36,4017,1,1992-11-03,1993-08-03,273,270,1.901000023,2.065000057,0.1640000340000003,2.228205136,712.0,5.222344298,0.586080586,TRF_REP,2,3,878,461.0,2.151000023,1.937999964,-0.25,-0.19807483731019523,1.99666667,0.13493085931197435,1.0,True,True,False
36-4017_1993-08-03_1994-06-01,36-4017,NY,36,4017,1,1993-08-03,1994-06-01,302,300,2.065000057,1.996000051,-0.06900000600000022,2.835099341,712.0,3.718874166,0.579470199,TRF_REP,3,4,1151,273.0,1.901000023,2.151000023,0.1640000340000003,0.2194176279065938,2.01375001675,0.11534695838137575,1.0,True,True,False
36-4017_1998-06-01_1999-04-30,36-4017,NY,36,4017,3,1998-06-01,1999-04-30,333,330,2.470000029,2.608999968,0.13899993900000007,2.362162171,712.0,7.633033045,0.621621622,TRF_REP,5,6,2914,1461.0,1.996000051,2.065000057,0.47399997799999993,0.11849999449999998,2.086833357833333,0.20801290773523584,0.0,True,True,False
36-4018_1990-11-02_1991-07-29,36-4018,NY,36,4018,2,1990-11-02,1991-07-29,269,270,1.68900001,1.723999977,0.034999967000000076,2.81152416,784.0,6.874721204,0.635687732,TRF_REP,0,1,0,,,,,,1.68900001,0.0,,False,False,False
36-4018_1991-07-29_1992-07-10,36-4018,NY,36,4018,2,1991-07-29,1992-07-10,347,360,1.723999977,1.677000046,-0.046999930999999995,2.556195968,784.0,6.892219027,0.671469741,TRF_REP,1,2,269,269.0,1.68900001,,0.034999967000000076,0.04752318939312278,1.7064999935,0.024748714007005436,1.0,True,False,False
36-4018_1994-03-18_1994-04-18,36-4018,NY,36,4018,4,1994-03-18,1994-04-18,31,30,1.875,1.809999943,-0.065000057,4.080645141,784.0,4.312903243,0.709677419,TRF_REP,3,4,1232,616.0,1.677000046,1.723999977,0.19799995399999992,0.11740175843912333,1.74125000825,0.09136874709567902,0.0,True,True,False
36-4018_1994-10-26_1995-01-11,36-4018,NY,36,4018,6,1994-10-26,1995-01-11,77,90,1.70599997,1.774000049,0.06800007900000016,2.602597398,784.0,1.459740262,0.571428571,TRF_REP,5,6,1454,191.0,1.809999943,1.875,-0.10399997300000008,-0.19887952951963364,1.7468333243333334,0.07851983450229595,0.0,True,True,False
36-4018_1995-01-11_1995-04-18,36-4018,NY,36,4018,6,1995-01-11,1995-04-18,97,90,1.774000049,1.638000011,-0.13600003800000016,2.389690731,784.0,-1.016494815,0.587628866,TRF_REP,6,7,1531,77.0,1.70599997,1.809999943,0.06800007900000016,0.3225588162954553,1.7507142850000001,0.07241019724525535,1.0,True,True,False
36-4018_1997-01-02_1997-02-07,36-4018,NY,36,4018,7,1997-01-02,1997-02-07,36,30,1.597000003,1.777499974,0.18049997099999993,2.274999989,784.0,-4.447222227,0.777777778,TRF_REP,8,9,2253,625.0,1.638000011,1.774000049,-0.04100000799999992,-0.023960404675199953,1.7211111121111111,0.08653386435299355,0.0,True,True,False
